mfcc_mean,mfcc_std,annotator_emo
"[-432.57171630859375, 122.77220153808594, 13.51861572265625, 27.27674674987793, -5.1342244148254395, 27.01212501525879, -15.021001815795898, 0.4336812198162079, 3.884248971939087, -14.094141960144043, 2.825345754623413, -3.9677133560180664, -0.5332003831863403, 2.6316730976104736, 0.9599274396896362, -0.5113345980644226, 4.757376194000244, -6.166427135467529, -2.947115898132324, 3.7580630779266357]","[69.99578857421875, 45.437843322753906, 25.945127487182617, 24.10953712463379, 22.867753982543945, 20.684247970581055, 20.120914459228516, 10.008503913879395, 8.095953941345215, 12.978096008300781, 8.761372566223145, 8.995540618896484, 8.820656776428223, 6.587313175201416, 5.860480785369873, 9.0790376663208, 6.542824745178223, 8.728486061096191, 7.168898105621338, 6.034510135650635]",neutral
"[-400.5952453613281, 72.80829620361328, -1.6848193407058716, 43.60801696777344, -20.191801071166992, 21.561128616333008, -20.317611694335938, 5.238582611083984, -11.007951736450195, -0.8064751029014587, -2.439997911453247, -5.620530605316162, 0.08374058455228806, -9.811748504638672, 6.378767013549805, -11.394238471984863, 0.20546680688858032, -8.303826332092285, -0.05111531913280487, -5.090880393981934]","[100.20279693603516, 28.065401077270508, 13.212007522583008, 25.77312469482422, 19.976903915405273, 11.168707847595215, 18.373493194580078, 7.902015686035156, 9.774206161499023, 5.617720603942871, 7.231354713439941, 4.703812599182129, 5.4631500244140625, 6.531861305236816, 7.720153331756592, 8.167322158813477, 4.053860187530518, 6.4090800285339355, 5.151008129119873, 6.917867660522461]",neutral
"[-410.4974060058594, 73.8012466430664, -7.933843612670898, 36.5619010925293, -13.243301391601562, 9.980011940002441, -13.20639705657959, 4.818058490753174, -3.399322748184204, 3.647814989089966, -5.751181602478027, -10.433980941772461, 1.7256016731262207, -6.503657341003418, 0.7618716955184937, -11.139892578125, -0.8916112184524536, -6.944255828857422, -2.758044958114624, -3.4209506511688232]","[94.18441772460938, 21.328182220458984, 21.276456832885742, 24.75054931640625, 19.891435623168945, 13.822589874267578, 19.299983978271484, 9.078337669372559, 6.310502052307129, 9.865541458129883, 8.055276870727539, 13.709659576416016, 5.575258255004883, 4.851940631866455, 5.1257643699646, 7.235908508300781, 5.902441501617432, 7.109484672546387, 5.246421813964844, 4.124526500701904]",sad
"[-399.29376220703125, 111.79989624023438, -1.7707120180130005, 33.86106872558594, 13.810576438903809, 2.281221866607666, 6.232401371002197, -0.3327086567878723, -7.889390468597412, -2.5698788166046143, -5.2829203605651855, -2.1004481315612793, -0.7469459176063538, -0.7910349369049072, 2.7344346046447754, -3.601879835128784, -1.1310843229293823, -3.3867099285125732, -4.651889324188232, -5.7499518394470215]","[80.00997161865234, 39.73249816894531, 29.2374267578125, 24.230852127075195, 19.630434036254883, 14.511993408203125, 12.755701065063477, 10.319382667541504, 14.127413749694824, 10.62641716003418, 12.06628704071045, 9.8428316116333, 8.015212059020996, 6.365103244781494, 5.116450786590576, 7.529816627502441, 6.169376373291016, 6.457275390625, 8.06464672088623, 7.348029613494873]",sad
"[-637.4525756835938, 96.2894058227539, 3.1962714195251465, 31.172597885131836, -11.819704055786133, 13.272541999816895, -15.510390281677246, 17.303415298461914, -6.215773105621338, 8.358902931213379, -3.8919453620910645, 0.6608635187149048, 4.750628471374512, -6.2316107749938965, 8.431984901428223, -5.9915008544921875, 6.517016410827637, -8.175116539001465, 3.669492721557617, -6.052380084991455]","[94.77037811279297, 25.5736141204834, 17.524810791015625, 20.04994773864746, 19.182422637939453, 11.073715209960938, 19.318227767944336, 10.97537899017334, 15.255499839782715, 9.114213943481445, 9.937021255493164, 6.94600772857666, 5.725535869598389, 8.426142692565918, 6.31034517288208, 6.910068988800049, 5.535265922546387, 7.358961582183838, 5.66143798828125, 7.546086311340332]",positive
"[-497.5491638183594, 64.91826629638672, -10.373526573181152, 25.6907901763916, -17.022714614868164, 12.733201026916504, -17.175241470336914, -1.6423566341400146, -10.513214111328125, -1.951285481452942, -8.246667861938477, -5.855460166931152, -1.653011679649353, -6.5681657791137695, 4.465116500854492, -8.582416534423828, 4.407249450683594, -7.486552715301514, -3.113555431365967, -5.087561130523682]","[150.88360595703125, 44.681827545166016, 27.780059814453125, 21.536348342895508, 23.187217712402344, 14.790452003479004, 18.26718521118164, 8.987957954406738, 8.206974983215332, 8.447187423706055, 8.77812385559082, 7.777148246765137, 8.700665473937988, 8.442347526550293, 7.123010635375977, 11.178909301757812, 6.450544834136963, 7.934430122375488, 7.851262092590332, 5.584589958190918]",neutral
"[-422.9216613769531, 81.81678771972656, 7.00625467300415, 30.598068237304688, -7.545472621917725, 19.380126953125, -12.259721755981445, 13.72399616241455, -9.143447875976562, 4.5519328117370605, -3.437155246734619, -0.49703124165534973, -1.9415546655654907, -2.2211930751800537, 5.756939888000488, -10.644742965698242, 8.688889503479004, -7.217894077301025, 3.930208444595337, -4.821139812469482]","[158.35047912597656, 39.85264587402344, 34.140777587890625, 28.933534622192383, 31.178346633911133, 22.572986602783203, 22.37962532043457, 15.758230209350586, 18.439990997314453, 8.593598365783691, 9.462396621704102, 8.24314022064209, 11.518588066101074, 8.276053428649902, 8.640511512756348, 11.625031471252441, 8.142526626586914, 8.781384468078613, 5.750672817230225, 7.460399627685547]",neutral
"[-513.72705078125, 103.22822570800781, 18.890705108642578, 22.600839614868164, -14.583586692810059, 10.279868125915527, 0.260463148355484, -7.958546161651611, -7.748871326446533, 0.44176316261291504, -10.738602638244629, -6.5930328369140625, -10.147310256958008, -14.504555702209473, 2.551753282546997, -11.236976623535156, -0.3568393588066101, -7.180970191955566, -7.292804718017578, 0.3936627507209778]","[69.6357650756836, 30.267986297607422, 11.61806583404541, 17.075984954833984, 29.304534912109375, 11.645074844360352, 7.945495128631592, 10.282179832458496, 7.411291122436523, 8.22196102142334, 8.022053718566895, 5.509767532348633, 7.2480788230896, 5.306625843048096, 6.992241859436035, 7.745419979095459, 5.625706672668457, 7.841644287109375, 6.063158988952637, 4.865693092346191]",sad
"[-598.8079833984375, 55.564231872558594, 15.166399955749512, 34.78441619873047, -19.4140682220459, 24.577489852905273, -17.65036392211914, 15.697286605834961, -16.964889526367188, 12.054561614990234, -10.841164588928223, -1.7808480262756348, 3.1986083984375, -11.602194786071777, 11.584675788879395, -13.085345268249512, 8.734637260437012, -6.102646827697754, 3.3457462787628174, -5.4355974197387695]","[74.16655731201172, 34.05854034423828, 19.785531997680664, 19.709238052368164, 19.11192512512207, 14.369590759277344, 9.420900344848633, 12.134184837341309, 10.19951057434082, 7.708670616149902, 9.413362503051758, 8.620189666748047, 7.264462947845459, 7.951804161071777, 6.712124347686768, 7.458307266235352, 4.586167335510254, 4.605524063110352, 4.9712443351745605, 4.822009563446045]",sad
"[-302.6933288574219, 76.67428588867188, -9.126523971557617, 43.67405319213867, -15.479756355285645, -6.415393829345703, -19.81592559814453, 13.658909797668457, -8.75908088684082, -1.8674806356430054, 0.280996710062027, -12.848443984985352, 0.5276864171028137, -9.593631744384766, 1.4907238483428955, -5.184709548950195, 1.3726279735565186, -0.030489003285765648, -2.378833770751953, -1.63802170753479]","[151.2170867919922, 56.67351531982422, 39.50764846801758, 35.4156608581543, 25.631366729736328, 20.324752807617188, 24.454347610473633, 13.22628402709961, 14.050890922546387, 11.504922866821289, 9.117310523986816, 13.368913650512695, 8.134912490844727, 12.390670776367188, 7.32351541519165, 11.108848571777344, 6.560462474822998, 6.845681190490723, 9.003377914428711, 6.98528528213501]",neutral
"[-286.55133056640625, 103.42972564697266, 1.311495304107666, 42.89789962768555, -34.32198715209961, -0.07291636615991592, -40.16160202026367, 8.70445728302002, -28.2352352142334, -5.614004135131836, -6.549217224121094, -6.733463764190674, 0.7826288342475891, -6.603058338165283, 9.733899116516113, -16.388256072998047, -1.3511228561401367, -13.007379531860352, -3.3454110622406006, -16.506982803344727]","[67.5863265991211, 36.413368225097656, 17.96523666381836, 23.77735710144043, 17.325733184814453, 14.557968139648438, 10.760732650756836, 13.20791244506836, 7.625255107879639, 9.203261375427246, 6.991542816162109, 8.551972389221191, 10.063457489013672, 11.29455280303955, 7.754586219787598, 9.369474411010742, 6.13718318939209, 6.092312335968018, 5.181827545166016, 5.183010101318359]",neutral
"[-395.46478271484375, 117.4808578491211, 29.7471981048584, 32.969078063964844, 11.910840034484863, 5.000940799713135, 6.380124568939209, 11.694934844970703, 4.419741630554199, -4.569400310516357, -2.322388172149658, 0.3314172923564911, 1.036806583404541, -0.8660323023796082, -0.037738386541604996, 2.2645580768585205, 2.8262646198272705, -1.7923513650894165, 1.2111618518829346, 4.427509784698486]","[81.7240219116211, 45.04895782470703, 29.877395629882812, 29.30271339416504, 21.129854202270508, 21.226539611816406, 11.647805213928223, 11.527266502380371, 12.375443458557129, 12.331883430480957, 9.803760528564453, 7.326513290405273, 9.074644088745117, 7.306869983673096, 7.136819839477539, 6.96289587020874, 6.763532638549805, 6.58988618850708, 5.841299057006836, 7.117518901824951]",sad
"[-321.4351501464844, 126.5623779296875, -15.075182914733887, 26.24810791015625, -9.835347175598145, 2.825385570526123, -20.8796329498291, -20.67310333251953, -4.255223751068115, -6.513746738433838, -6.468443870544434, -6.3366379737854, -8.13952350616455, -8.155074119567871, -3.916144847869873, -9.43538761138916, -6.520951271057129, -5.64634370803833, -1.2809956073760986, -2.2524733543395996]","[93.2321548461914, 33.736080169677734, 26.352556228637695, 25.129566192626953, 21.336692810058594, 15.296208381652832, 15.335670471191406, 12.713619232177734, 12.211003303527832, 12.203474044799805, 8.627975463867188, 8.605849266052246, 9.007266998291016, 8.842025756835938, 7.025657653808594, 9.200093269348145, 7.027052879333496, 7.895394802093506, 8.9079008102417, 11.47998332977295]",neutral
"[-483.4299011230469, 103.20600891113281, 5.528889179229736, 19.616731643676758, 3.0632894039154053, 12.630374908447266, 3.5106124877929688, 3.9481916427612305, -2.109482765197754, 2.18550443649292, 2.0139379501342773, 0.6704277992248535, 3.9326977729797363, 0.22345305979251862, 4.906623840332031, 0.05780021473765373, -0.41499608755111694, -1.2636258602142334, 2.4688775539398193, -0.6437501907348633]","[123.57882690429688, 56.40547561645508, 24.1574649810791, 15.884814262390137, 13.353217124938965, 11.730473518371582, 9.430109024047852, 9.531254768371582, 10.40005874633789, 10.983004570007324, 9.313394546508789, 7.192351341247559, 6.847384452819824, 6.152622222900391, 5.277835845947266, 5.722924709320068, 7.1992669105529785, 5.711968421936035, 4.700118541717529, 5.422625541687012]",neutral
"[-338.841796875, 110.7640151977539, 1.4942338466644287, 48.588077545166016, -13.751664161682129, 22.715953826904297, -17.55760955810547, 13.84503173828125, -13.463687896728516, 4.262049674987793, 1.448721170425415, -5.588868141174316, 0.31848835945129395, -13.651922225952148, 4.850882053375244, -9.537416458129883, 2.6815311908721924, -10.74786376953125, -2.8435473442077637, -8.052915573120117]","[71.12916564941406, 32.16834259033203, 15.930994033813477, 28.962190628051758, 13.225591659545898, 9.919015884399414, 16.941436767578125, 9.481587409973145, 12.620758056640625, 9.822404861450195, 8.525615692138672, 7.446166038513184, 5.679381370544434, 7.537209987640381, 6.6389336585998535, 8.61369800567627, 5.8608574867248535, 4.351877212524414, 4.370577812194824, 6.083798885345459]",neutral
"[-503.2388916015625, 103.51853942871094, 18.15807342529297, 34.68056106567383, -17.211795806884766, 10.701072692871094, -6.277338981628418, -11.014006614685059, -7.099376201629639, -3.4864914417266846, -12.41173267364502, -9.048425674438477, -12.352779388427734, -14.173909187316895, 2.5719218254089355, -12.227907180786133, -0.5035070180892944, -6.854177951812744, -7.639527320861816, -0.0997944250702858]","[59.71509552001953, 26.95893669128418, 12.057710647583008, 23.344919204711914, 24.616186141967773, 12.287487983703613, 12.514028549194336, 12.270170211791992, 7.479164123535156, 10.714325904846191, 8.235793113708496, 6.196999549865723, 8.590553283691406, 5.442551136016846, 5.732932090759277, 6.484515190124512, 6.009028911590576, 5.926482200622559, 6.985773086547852, 7.3755645751953125]",sad
"[-409.3183898925781, 111.8074722290039, 5.170733451843262, 15.398681640625, -17.984140396118164, 22.94245147705078, -13.5294189453125, -12.705232620239258, -4.110894680023193, -12.610604286193848, -14.59708309173584, 2.735272169113159, -0.7277900576591492, -14.275297164916992, 3.0109670162200928, -4.779707908630371, -5.614254951477051, -5.773934841156006, -4.069135665893555, -7.669869899749756]","[124.7300033569336, 56.763824462890625, 29.231576919555664, 22.94402313232422, 25.016300201416016, 13.603708267211914, 13.061068534851074, 17.888233184814453, 11.47927188873291, 14.203907012939453, 12.99184513092041, 12.699106216430664, 10.852648735046387, 9.393376350402832, 7.438636779785156, 7.600720405578613, 6.914208889007568, 6.088529109954834, 6.729225158691406, 8.627655982971191]",neutral
"[-354.4450378417969, 117.44810485839844, 7.837259769439697, 43.837215423583984, -12.779288291931152, 24.41617774963379, -18.197553634643555, 7.4682159423828125, -9.593583106994629, 0.49394091963768005, -1.4746534824371338, 0.6011866927146912, 1.6025432348251343, -13.552286148071289, 4.608745574951172, -6.5358686447143555, 6.806441307067871, -11.757834434509277, -6.179603099822998, -6.199160099029541]","[68.40792846679688, 33.47810745239258, 12.862258911132812, 24.295169830322266, 21.217369079589844, 15.410319328308105, 18.213247299194336, 10.191385269165039, 8.330223083496094, 7.905463695526123, 9.738810539245605, 6.747331619262695, 5.390383720397949, 7.116693496704102, 4.598858833312988, 10.552691459655762, 7.0894365310668945, 5.5977373123168945, 5.02508544921875, 5.651974678039551]",neutral
"[-464.55859375, 65.15312957763672, -0.7555707097053528, 16.961305618286133, -10.17301082611084, 6.83648157119751, -9.170944213867188, 6.744598865509033, -11.863447189331055, -1.3545458316802979, -4.819157600402832, -3.4839649200439453, -2.926898241043091, -5.508007049560547, 2.753554582595825, -12.009940147399902, -0.421518474817276, -7.892356872558594, -3.9787280559539795, -8.214329719543457]","[143.15982055664062, 51.57993698120117, 21.34193229675293, 25.535642623901367, 22.106782913208008, 12.657068252563477, 19.26751708984375, 11.795010566711426, 15.415283203125, 6.464867115020752, 8.420975685119629, 7.572367191314697, 6.965919017791748, 8.167543411254883, 8.193841934204102, 12.064681053161621, 7.041046619415283, 7.58889627456665, 4.908695697784424, 8.593221664428711]",neutral
"[-363.28680419921875, 46.89619827270508, -18.629419326782227, 28.15060806274414, -30.68732452392578, 33.9361686706543, -32.2791862487793, 25.408601760864258, -19.06430435180664, 1.1021324396133423, -2.549131393432617, -9.4622802734375, 5.970696926116943, -12.75683879852295, 8.627986907958984, -13.80052661895752, 6.920146465301514, -10.082870483398438, 4.142553806304932, 1.0361461639404297]","[122.27825164794922, 29.673908233642578, 27.7413330078125, 18.059619903564453, 28.06456184387207, 16.06781005859375, 22.80145835876465, 13.164863586425781, 18.169357299804688, 7.809799671173096, 7.7534379959106445, 9.584880828857422, 7.174119472503662, 9.363691329956055, 5.443459987640381, 9.73942756652832, 6.349029541015625, 7.685266971588135, 6.140905380249023, 8.339608192443848]",sad
"[-520.6116333007812, 63.381168365478516, -31.28632926940918, 3.6766200065612793, -4.588676452636719, -1.7626858949661255, -10.486029624938965, -1.668839693069458, -10.637057304382324, -8.516963958740234, -7.138190746307373, -11.507399559020996, -9.377716064453125, -10.75013542175293, -6.249903202056885, -11.250628471374512, -3.432844400405884, -5.076650142669678, -5.238495349884033, -3.8176381587982178]","[127.19269561767578, 61.27383804321289, 34.30826950073242, 30.11900520324707, 19.702857971191406, 23.391279220581055, 17.027204513549805, 11.77407455444336, 13.202990531921387, 12.655552864074707, 8.127408981323242, 10.255067825317383, 9.3896484375, 9.890607833862305, 7.96734619140625, 10.886238098144531, 7.6433000564575195, 7.384317874908447, 7.745565891265869, 6.156680107116699]",angry
"[-412.4947204589844, 74.7503433227539, -2.26462984085083, 29.128398895263672, -26.105972290039062, 18.962751388549805, -24.82145118713379, -10.18918514251709, -10.986783981323242, -3.2567620277404785, -14.294088363647461, 0.6562695503234863, -2.891366481781006, -10.171124458312988, 9.305451393127441, -7.982207298278809, 9.08193302154541, -8.839104652404785, 3.8273630142211914, -2.104857921600342]","[75.8220443725586, 31.82840347290039, 17.43009376525879, 25.206056594848633, 15.397316932678223, 15.034427642822266, 18.87189292907715, 13.692667007446289, 9.631216049194336, 10.113151550292969, 12.886992454528809, 7.988956928253174, 8.251490592956543, 10.208039283752441, 7.357961654663086, 9.116988182067871, 6.87817907333374, 7.416580677032471, 5.750425338745117, 5.3907060623168945]",sad
"[-472.31292724609375, 79.98641967773438, -4.570641994476318, 40.90877151489258, -30.02587890625, 14.164650917053223, -18.605640411376953, 10.136811256408691, -12.82988166809082, 2.141239881515503, -2.4476163387298584, -7.851914882659912, 3.1462154388427734, -6.5698161125183105, 6.635335922241211, -13.599788665771484, 7.327176094055176, -6.089599609375, 1.3353416919708252, -1.8575292825698853]","[98.86900329589844, 40.55232238769531, 18.340248107910156, 30.84520149230957, 25.334251403808594, 18.05804443359375, 15.623451232910156, 10.159215927124023, 15.076774597167969, 8.064163208007812, 8.619933128356934, 6.438837051391602, 7.110140323638916, 6.963322162628174, 6.2513508796691895, 9.963027954101562, 6.202534198760986, 9.372371673583984, 6.780598163604736, 7.704071521759033]",neutral
"[-622.9917602539062, 83.29803466796875, 9.412538528442383, 45.62574768066406, -7.445315837860107, 33.12841796875, -5.761044979095459, 19.3466854095459, -3.9829742908477783, 8.721153259277344, 6.9434332847595215, -0.8049710392951965, 8.372699737548828, -4.327517032623291, 8.873278617858887, -6.866031646728516, 7.115746974945068, -3.5204148292541504, 2.3060317039489746, 0.2694983184337616]","[62.1249885559082, 29.20909881591797, 12.163697242736816, 19.00291633605957, 16.955812454223633, 7.0304155349731445, 13.535025596618652, 7.8990936279296875, 13.682440757751465, 6.267040729522705, 6.750948905944824, 7.181569576263428, 4.971047401428223, 5.809084415435791, 5.070211410522461, 8.616677284240723, 5.342832565307617, 5.750545501708984, 4.754148483276367, 5.004417419433594]",sad
"[-405.3068542480469, 122.52896118164062, -2.1512346267700195, 62.18886184692383, -16.460655212402344, 6.769864559173584, -1.1861611604690552, 3.695787191390991, 3.925434112548828, -6.110358715057373, -4.966890335083008, -4.624722003936768, -0.07361895591020584, -3.889855146408081, -1.5918132066726685, -7.6249799728393555, -4.2090229988098145, -3.7752344608306885, 1.3922014236450195, -2.0251827239990234]","[55.27710723876953, 35.448951721191406, 13.541980743408203, 27.308788299560547, 24.136613845825195, 16.196203231811523, 10.939953804016113, 10.757604598999023, 7.903181552886963, 10.046265602111816, 6.646264553070068, 6.814547061920166, 7.0948896408081055, 6.0593085289001465, 5.6688618659973145, 7.2318115234375, 7.371192932128906, 7.158295631408691, 5.589389801025391, 6.423905849456787]",sad
"[-565.7874145507812, 68.13036346435547, 0.7494933605194092, 13.797440528869629, -26.37278175354004, 9.306252479553223, -23.61137580871582, 2.9356870651245117, -22.803241729736328, -5.926836013793945, -6.139353275299072, -12.872486114501953, -5.069392204284668, -10.40848445892334, -0.2492924928665161, -14.487881660461426, 0.13769382238388062, -13.590851783752441, -2.0668797492980957, -6.750067234039307]","[77.4089584350586, 35.03300094604492, 16.229530334472656, 14.405169486999512, 21.41255760192871, 8.021878242492676, 15.012986183166504, 9.612342834472656, 18.008207321166992, 8.447154998779297, 6.271941661834717, 7.301002502441406, 6.2268242835998535, 6.448496341705322, 5.683428764343262, 10.924445152282715, 5.829395771026611, 8.010836601257324, 3.854222297668457, 5.04305362701416]",sad
"[-346.39453125, 50.84811782836914, 6.132631301879883, 33.613548278808594, 11.84830093383789, 15.756214141845703, -13.03029727935791, 8.22265911102295, -7.865176200866699, -4.9224395751953125, -0.3998819887638092, 3.6060991287231445, -1.7292367219924927, -6.7820725440979, 8.63344955444336, -0.27928370237350464, 0.2513488829135895, -6.704779148101807, 1.6126850843429565, -1.3138993978500366]","[137.1551513671875, 36.210304260253906, 27.71302604675293, 23.12060546875, 20.363357543945312, 14.638699531555176, 26.271238327026367, 11.267372131347656, 18.74625015258789, 11.613969802856445, 9.607728004455566, 7.256265640258789, 7.0797038078308105, 8.955322265625, 7.679386615753174, 10.536316871643066, 6.248647212982178, 8.762906074523926, 7.971129417419434, 5.133646488189697]",angry
